| Mes | Pago Mensual | Interés | Principal | Saldo Restante |
|-----|--------------|---------|-----------|----------------|
|   1 |         1.05 |    0.08 |      0.96 |          10.04 |
|   2 |         1.16 |    0.08 |      1.08 |          19.96 |
|   3 |         2.59 |    0.17 |      2.42 |          18.54 |
|   4 |         2.74 |    0.15 |      2.58 |          16.95 |
|   5 |         2.91 |    0.14 |      2.77 |          15.19 |
|   6 |         3.11 |    0.13 |      2.99 |          13.20 |
|   7 |         3.37 |    0.11 |      3.26 |          10.94 |
|   8 |         3.71 |    0.09 |      3.62 |           8.32 |
|   9 |         4.21 |    0.07 |      4.14 |           5.18 |
|  10 |         5.22 |    0.04 |      5.18 |           1.00 |
